OID_,lst_2015sp,lst_2015su,lst_2015au,lst_2015wi,lst_2016sp,lst_2016su,lst_2016au,lst_2016wi,lst_2017sp,lst_2017su,lst_2017au,lst_2017wi,lst_2018sp,lst_2018su,lst_2018au,lst_2018wi,lst_2019sp,lst_2019su,lst_2019au,lst_2019wi,lst_2020sp,lst_2020su,lst_2020au,lst_2020wi,lst_2021sp,lst_2021su,lst_2021au,lst_2021wi,lst_2022sp,lst_2022su,lst_2022au,lst_2022wi,lst_2023sp,lst_2023su,lst_2023au,lst_2023wi
0,27.63059612,32.84307662,29.32251602,20.16564044,29.78736674,38.67763676,35.43393578,21.73280261,29.19775829,35.99790908,29.92066952,18.42074123,29.7292604,37.59925145,32.4807665,24.13054364,28.40648666,40.4105729,31.51346684,19.14536147,25.80537344,34.55208662,29.8830713,22.49673008,36.15855602,25.87031582,28.08177476,22.84365911,26.11641326,34.50765236,33.1301903,21.6114629,32.88067484,37.36511708,28.94482481,23.2179323
1,25.36786688,35.04257249,29.63355584,20.22203777,25.53705887,40.53533063,35.17416626,19.67686358,28.1057009,35.9329667,29.8147109,18.04988606,30.59914649,37.2830846,32.5833071,21.81483509,28.80126797,40.91985788,27.59470691,18.58138817,25.69941482,37.95301652,29.13452492,22.141256,34.37605859,27.18967154,30.26076251,22.59072563,26.01045464,31.44510644,34.47689018,21.03723554,33.2669111,38.40932219,29.93092358,22.64370494
2,25.39692005,34.75545881,33.02423168,21.70204043,25.66523462,41.25140582,35.34848528,23.80924976,33.00372356,38.04530306,31.38870911,18.94882532,31.97831756,39.26040917,33.71979875,23.41959548,29.9343416,40.40715488,29.21997542,19.67686358,26.81368934,37.10876558,31.00930889,23.36148914,37.180544,36.58580852,35.02890041,24.56121416,27.24435986,36.5140301,34.82723723,22.77017168,33.6428933,39.3168065,25.78828334,22.68130316
3,25.83955364,31.4724506,28.89697253,20.63390918,26.51290358,38.14271663,32.25175916,20.69885156,30.9768377,35.3689934,30.32570489,17.83796882,31.07083325,36.28160474,32.47051244,23.27262062,28.82519411,39.51505166,28.2424217,19.44614723,26.2770602,34.88363456,29.9685218,23.24869448,34.95199496,34.51790642,33.2840012,23.35294409,26.46846932,34.7708399,33.37286972,22.00111718,32.86700276,36.84216002,30.62307263,22.5855986
4,25.83955364,31.4724506,28.89697253,20.63390918,26.51290358,38.14271663,32.25175916,20.69885156,30.9768377,35.3689934,30.32570489,17.83796882,31.07083325,36.28160474,32.47051244,23.27262062,28.82519411,39.51505166,28.2424217,19.44614723,26.2770602,34.88363456,29.9685218,23.24869448,34.95199496,34.51790642,33.2840012,23.35294409,26.46846932,34.7708399,33.37286972,22.00111718,32.86700276,36.84216002,30.62307263,22.5855986
5,29.148197,33.93000698,30.66579788,21.91395767,26.50264952,40.4447531,32.51836472,23.89811828,33.44977517,38.27089238,32.23466906,18.82235858,32.10991133,39.07925411,33.45832022,21.87294143,30.17189399,41.68891238,30.30348776,19.87852676,26.5163216,36.31236692,30.77859254,23.3204729,36.35851019,35.8987865,33.29083724,23.94597056,27.29904818,35.42197271,34.45980008,22.37026334,33.99836738,38.57851418,25.9181681,22.69155722
6,nan,38.94424232,34.39656671,24.5167799,26.10274118,46.08961313,42.80489591,25.81904552,36.32091197,40.40544587,35.37753845,21.71058548,35.09896982,43.71238022,37.59583343,25.91475008,33.19171466,43.73801537,34.55550464,22.6881392,28.79272292,41.51459336,34.14705125,27.32639234,33.6428933,33.87702767,37.18396202,27.15207332,31.37674604,34.20344858,41.75556377,25.8839879,38.57167814,44.00974796,32.4124061,26.34200258
7,26.64278834,36.3943994,33.51300854,24.28948157,24.61590248,45.60938132,37.83509483,27.44773205,33.43097606,38.75966924,35.96031086,22.10194877,35.72104946,42.1708532,36.77379962,28.21849556,32.59697918,42.4613849,33.55060676,23.5426442,33.67536449,38.16493376,35.14511309,27.45456809,39.85001762,27.57419879,35.70395936,28.04930357,31.8655229,37.85731196,38.74941518,26.3112404,30.00612002,40.49944142,29.92066952,26.92306598
8,26.64278834,36.3943994,33.51300854,24.28948157,24.61590248,45.60938132,37.83509483,27.44773205,33.43097606,38.75966924,35.96031086,22.10194877,35.72104946,42.1708532,36.77379962,28.21849556,32.59697918,42.4613849,33.55060676,23.5426442,33.67536449,38.16493376,35.14511309,27.45456809,39.85001762,27.57419879,35.70395936,28.04930357,31.8655229,37.85731196,38.74941518,26.3112404,30.00612002,40.49944142,29.92066952,26.92306598
9,5.80653842,32.12529242,30.21291023,20.88513365,19.90074389,38.16493376,34.57259474,23.19742418,30.75124838,37.45911263,31.25369732,19.10605424,26.00020058,nan,32.55938096,23.31705488,28.28685596,nan,29.51905217,19.29917237,25.54560392,34.02912956,28.89355451,23.32901795,27.88694762,34.05989174,33.32501744,23.15298992,26.11470425,32.1047843,33.63434825,21.82338014,30.53933114,33.85481054,26.64620636,23.337563
